Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CHAS,62.878,63.592,63.647,63.892,63.974,63.827,63.513,63.006,62.272,61.286,60.046,58.788,56.363,56.365,56.377,56.400,56.457,56.572,56.797,56.924,57.029,57.224,57.582,58.277,58.776,59.151,59.603,60.095,60.529,60.743,60.784,60.907
CHIC_1,103.944,102.922,101.497,100.278,99.656,99.196,99.120,99.507,100.241,101.201,102.403,104.029,106.314,108.690,111.282,114.010,116.836,119.725,122.734,125.186,127.219,128.909,130.816,133.462,135.107,135.822,136.913,138.313,139.414,139.887,139.779,140.055
CHSI_1,266.087,263.962,260.105,257.360,256.270,255.705,256.371,258.514,261.690,265.461,269.960,275.575,282.173,291.134,300.872,311.096,321.637,332.287,343.179,352.158,359.607,365.568,372.055,380.713,385.945,387.873,391.107,395.475,398.806,400.168,399.677,400.502
CHTE_1,536.460,530.616,522.189,515.176,511.519,508.828,508.365,510.553,514.645,519.817,526.184,534.528,546.071,558.192,571.249,584.826,599.134,613.602,628.815,641.114,651.337,659.696,669.693,684.244,693.033,696.624,702.475,710.493,716.753,719.268,718.664,720.454
CITR_1,694.175,689.503,682.849,676.076,671.456,666.636,662.486,659.170,656.436,653.896,651.341,650.533,651.353,653.486,655.875,658.430,661.429,665.006,669.746,673.078,675.813,679.075,684.254,693.428,699.691,703.854,709.094,715.142,720.355,722.817,723.068,724.539
CLAY_P,26.939,26.894,26.741,26.610,26.542,26.464,26.410,26.387,26.391,26.417,26.460,26.600,26.756,27.178,27.658,28.185,28.708,29.267,29.849,30.324,30.716,31.071,31.435,31.899,32.225,32.409,32.637,32.868,33.060,33.164,33.155,33.181
CLYM,66.290,65.647,64.699,63.895,63.453,63.104,62.988,63.150,63.517,63.997,64.601,65.440,66.645,67.918,69.291,70.729,72.239,73.782,75.416,76.731,77.823,78.735,79.833,81.449,82.440,82.875,83.552,84.451,85.160,85.454,85.395,85.587
COAT,54.641,54.104,53.305,52.629,52.252,51.952,51.844,51.967,52.254,52.629,53.099,53.758,54.700,55.705,56.786,57.911,59.103,60.317,61.611,62.649,63.511,64.230,65.120,66.456,67.270,67.626,68.186,68.944,69.540,69.783,69.734,69.905
COCK,42.023,41.593,40.961,40.443,40.180,39.997,39.990,40.192,40.553,41.008,41.572,42.305,43.320,44.369,45.506,46.700,47.940,49.200,50.511,51.579,52.466,53.190,54.017,55.180,55.888,56.177,56.641,57.259,57.741,57.938,57.885,58.010
CONQA1;SASA,297.313,294.168,289.291,285.285,283.028,281.209,280.517,281.169,282.687,284.556,286.839,289.939,294.140,299.236,304.612,310.078,316.066,322.057,328.579,333.716,338.011,341.529,346.304,353.943,358.453,360.317,363.460,367.996,371.561,372.917,372.664,373.831
COUA_P,24.252,24.017,23.671,23.377,23.217,23.093,23.059,23.125,23.269,23.459,23.694,24.017,24.481,24.967,25.492,26.042,26.620,27.209,27.831,28.333,28.749,29.096,29.509,30.113,30.481,30.644,30.894,31.227,31.490,31.600,31.575,31.646
COVE_1,496.155,491.127,483.168,476.810,473.458,470.923,470.410,472.305,475.810,480.077,485.242,491.988,500.732,511.471,522.945,534.778,547.406,560.091,573.546,584.347,593.346,600.647,609.746,623.430,631.569,634.815,640.277,648.010,654.041,656.380,655.821,657.664
COWL_1;ECLA_H,523.903,518.267,510.235,503.520,500.061,497.545,497.175,499.383,503.466,508.664,515.087,523.532,535.241,547.435,560.633,574.417,588.827,603.447,618.728,631.140,641.438,649.876,659.715,673.725,682.248,685.745,691.351,698.901,704.798,707.205,706.588,708.183
COYL,35.761,35.407,34.894,34.464,34.245,34.087,34.071,34.225,34.504,34.868,35.316,35.910,36.736,37.593,38.523,39.503,40.517,41.551,42.629,43.506,44.234,44.832,45.514,46.466,47.053,47.298,47.683,48.188,48.585,48.750,48.707,48.808
CRAI_P,22.750,22.469,22.059,21.740,21.599,21.523,21.582,21.795,22.125,22.530,23.016,23.610,24.395,25.196,26.061,26.967,27.905,28.849,29.816,30.610,31.270,31.796,32.376,33.168,33.638,33.803,34.094,34.501,34.807,34.928,34.882,34.964
CREB_1,478.790,474.320,467.058,461.212,458.043,455.510,454.701,455.971,458.588,461.800,465.705,471.041,477.885,487.054,496.860,506.964,517.780,528.686,540.336,549.648,557.397,563.765,571.830,584.096,591.449,594.497,599.503,606.507,612.009,614.166,613.704,615.376
CROO,51.857,51.107,49.863,48.882,48.268,47.750,47.485,47.509,47.681,47.841,48.010,48.197,48.436,48.840,49.185,49.436,49.877,50.246,50.777,51.116,51.418,51.627,52.299,53.769,54.544,54.812,55.397,56.439,57.253,57.502,57.464,57.818
CUMB,45.770,45.384,44.828,44.331,44.053,43.818,43.711,43.758,43.921,44.160,44.476,44.959,45.687,46.453,47.289,48.177,49.097,50.052,51.068,51.882,52.557,53.141,53.823,54.803,55.426,55.729,56.164,56.703,57.134,57.327,57.296,57.403
