Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CANTN1;RICH1;RICH_J,2.598,4.348,5.977,7.803,9.818,11.893,14.402,17.604,21.772,26.820,32.128,37.259,41.738,45.128,47.232,48.066,47.878,47.364,46.921,46.840,47.105,45.875,46.127,46.259,46.264,46.164,45.922,45.520,44.956,44.156,42.775,41.232
CAPEA1,1.076,1.800,2.636,3.677,4.941,6.359,8.094,10.226,12.796,15.763,18.882,21.898,24.530,26.522,27.759,28.249,28.139,27.836,27.576,27.529,27.685,26.962,27.110,27.188,27.191,27.131,26.989,26.753,26.421,25.951,25.139,24.233
CARE_1,1.274,2.131,2.915,3.782,4.728,5.692,6.854,8.346,10.308,12.699,15.212,17.641,19.762,21.367,22.363,22.758,22.669,22.425,22.215,22.177,22.303,21.721,21.840,21.903,21.905,21.857,21.743,21.552,21.285,20.907,20.253,19.522
CARR_1,0.000,0.000,0.751,2.069,4.058,6.648,9.872,13.607,17.513,21.575,25.844,29.971,33.574,36.301,37.993,38.664,38.513,38.099,37.743,37.678,37.892,36.902,37.105,37.212,37.215,37.134,36.940,36.617,36.162,35.520,34.408,33.167
CASS_P,0.000,0.000,0.011,0.030,0.059,0.097,0.145,0.199,0.256,0.316,0.378,0.439,0.492,0.532,0.556,0.566,0.564,0.558,0.553,0.552,0.555,0.540,0.543,0.545,0.545,0.544,0.541,0.536,0.530,0.520,0.504,0.486
CATY,0.000,0.000,0.231,0.637,1.250,2.047,3.040,4.190,5.394,6.644,7.959,9.230,10.340,11.179,11.701,11.907,11.861,11.733,11.624,11.604,11.669,11.365,11.427,11.460,11.461,11.436,11.376,11.277,11.137,10.939,10.597,10.214
CEAN_P,0.000,0.000,0.001,0.003,0.005,0.008,0.012,0.017,0.022,0.027,0.032,0.038,0.042,0.045,0.048,0.048,0.048,0.048,0.047,0.047,0.048,0.046,0.047,0.047,0.047,0.047,0.046,0.046,0.045,0.045,0.043,0.042
CELL_1,2.148,3.595,5.447,7.844,10.849,14.309,18.554,23.715,29.791,36.700,43.963,50.983,57.112,61.750,64.628,65.770,65.513,64.809,64.203,64.092,64.456,62.773,63.117,63.299,63.306,63.167,62.836,62.287,61.514,60.421,58.530,56.419
CHAP,0.000,0.000,0.096,0.264,0.518,0.848,1.260,1.736,2.235,2.753,3.298,3.824,4.284,4.632,4.848,4.933,4.914,4.862,4.816,4.808,4.835,4.709,4.735,4.748,4.749,4.738,4.713,4.672,4.614,4.532,4.391,4.232
CHAR_P,0.000,0.000,0.081,0.222,0.436,0.714,1.060,1.461,1.881,2.317,2.775,3.219,3.606,3.898,4.080,4.152,4.136,4.092,4.053,4.046,4.069,3.963,3.985,3.996,3.997,3.988,3.967,3.932,3.884,3.815,3.695,3.562
CHAS,2.580,4.320,5.016,5.209,4.769,3.649,2.180,0.772,0.114,0.140,0.168,0.195,0.219,0.236,0.247,0.252,0.251,0.248,0.246,0.245,0.247,0.240,0.242,0.242,0.242,0.242,0.240,0.238,0.235,0.231,0.224,0.216
CHIC_1,0.014,0.024,0.358,0.938,1.810,2.942,4.352,5.986,7.700,9.485,11.362,13.176,14.761,15.959,16.703,16.998,16.932,16.750,16.593,16.565,16.659,16.224,16.313,16.360,16.361,16.326,16.240,16.098,15.898,15.616,15.127,14.581
CHSI_1,2.417,4.045,5.920,8.248,11.074,14.244,18.119,22.884,28.630,35.269,42.250,48.996,54.886,59.344,62.110,63.208,62.960,62.283,61.701,61.595,61.944,60.327,60.658,60.832,60.839,60.706,60.388,59.860,59.117,58.066,56.249,54.220
CHTE_1,0.000,0.000,1.593,4.392,8.613,14.110,20.955,28.882,37.175,45.795,54.858,63.618,71.267,77.054,80.646,82.071,81.750,80.871,80.115,79.977,80.431,78.331,78.761,78.987,78.995,78.823,78.410,77.724,76.760,75.395,73.036,70.402
CITR_1,0.561,0.938,1.410,2.015,2.768,3.631,4.689,5.979,7.504,9.244,11.074,12.842,14.386,15.554,16.279,16.567,16.502,16.325,16.172,16.144,16.236,15.812,15.899,15.944,15.946,15.911,15.828,15.689,15.495,15.219,14.743,14.211
CLAY_P,0.290,0.480,0.629,0.771,0.902,1.012,1.141,1.323,1.605,1.977,2.368,2.746,3.076,3.326,3.481,3.543,3.529,3.491,3.458,3.452,3.472,3.381,3.400,3.409,3.410,3.402,3.385,3.355,3.313,3.254,3.153,3.039
CLYM,0.000,0.000,0.170,0.469,0.920,1.507,2.238,3.085,3.970,4.891,5.859,6.794,7.611,8.229,8.613,8.765,8.731,8.637,8.556,8.541,8.590,8.365,8.411,8.435,8.436,8.418,8.374,8.301,8.198,8.052,7.800,7.519
COAT,0.000,0.000,0.132,0.363,0.712,1.166,1.732,2.387,3.073,3.785,4.534,5.258,5.891,6.369,6.666,6.784,6.757,6.684,6.622,6.611,6.648,6.474,6.510,6.529,6.529,6.515,6.481,6.424,6.345,6.232,6.037,5.819
COCK,0.000,0.000,0.142,0.393,0.770,1.262,1.874,2.583,3.324,4.095,4.906,5.689,6.373,6.891,7.212,7.339,7.310,7.232,7.164,7.152,7.192,7.005,7.043,7.063,7.064,7.049,7.012,6.951,6.864,6.742,6.531,6.296
CONQA1;SASA,0.473,0.791,1.525,2.625,4.150,6.036,8.370,11.128,14.162,17.446,20.899,24.236,27.150,29.355,30.723,31.266,31.144,30.809,30.521,30.468,30.641,29.841,30.005,30.091,30.094,30.029,29.871,29.610,29.243,28.723,27.824,26.820
COUA_P,0.000,0.000,0.065,0.180,0.353,0.578,0.859,1.184,1.524,1.877,2.249,2.608,2.921,3.158,3.305,3.364,3.351,3.315,3.284,3.278,3.297,3.211,3.228,3.238,3.238,3.231,3.214,3.186,3.146,3.090,2.994,2.886
COVE_1,1.486,2.487,4.245,6.741,10.082,14.121,19.106,25.049,31.735,39.094,46.831,54.309,60.838,65.779,68.845,70.062,69.787,69.037,68.392,68.274,68.661,66.869,67.235,67.429,67.436,67.289,66.936,66.351,65.528,64.363,62.349,60.100
COWL_1;ECLA_H,0.000,0.000,1.638,4.515,8.853,14.504,21.539,29.687,38.211,47.072,56.387,65.391,73.253,79.202,82.894,84.359,84.028,83.125,82.348,82.206,82.673,80.514,80.956,81.188,81.197,81.020,80.595,79.890,78.899,77.497,75.072,72.364
