Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
COAT,0.000,0.000,0.060,0.129,0.242,0.397,0.600,0.858,1.175,1.556,2.005,2.518,3.165,3.732,4.364,5.051,5.795,6.612,7.449,8.269,9.057,9.653,10.127,10.582,10.954,11.243,11.413,11.357,11.517,11.669,11.803,11.928
COCK,0.000,0.000,0.065,0.140,0.262,0.430,0.649,0.929,1.271,1.684,2.169,2.724,3.425,4.037,4.722,5.465,6.270,7.153,8.059,8.946,9.799,10.443,10.956,11.449,11.852,12.164,12.348,12.288,12.460,12.624,12.769,12.905
CONQA1;SASA,0.400,0.587,0.959,1.415,2.000,2.752,3.688,4.838,6.216,7.854,9.768,11.961,14.590,17.200,20.115,23.282,26.710,30.474,34.335,38.112,41.745,44.490,46.675,48.775,50.489,51.819,52.604,52.347,53.081,53.781,54.399,54.978
COUA_P,0.000,0.000,0.030,0.064,0.120,0.197,0.298,0.426,0.583,0.772,0.994,1.249,1.570,1.850,2.164,2.505,2.874,3.279,3.694,4.100,4.491,4.787,5.022,5.248,5.432,5.575,5.660,5.632,5.711,5.786,5.853,5.915
COVE_1,1.257,1.847,2.768,3.910,5.278,6.997,9.095,11.637,14.651,18.212,22.364,27.125,32.693,38.541,45.074,52.169,59.853,68.287,76.937,85.402,93.542,99.694,104.590,109.296,113.138,116.116,117.875,117.300,118.946,120.514,121.898,123.195
COWL_1;ECLA_H,0.000,0.000,0.742,1.606,3.012,4.942,7.466,10.674,14.612,19.355,24.931,31.311,39.364,46.406,54.272,62.815,72.067,82.222,92.638,102.829,112.630,120.038,125.932,131.599,136.225,139.811,141.929,141.236,143.218,145.106,146.773,148.334
COYL,0.000,0.000,0.053,0.115,0.216,0.355,0.536,0.766,1.048,1.389,1.789,2.246,2.824,3.329,3.894,4.507,5.171,5.899,6.646,7.378,8.081,8.612,9.035,9.442,9.774,10.031,10.183,10.133,10.275,10.411,10.530,10.642
CRAI_P,0.000,0.000,0.049,0.105,0.197,0.324,0.489,0.699,0.957,1.268,1.633,2.051,2.579,3.040,3.555,4.115,4.721,5.386,6.069,6.736,7.378,7.864,8.250,8.621,8.924,9.159,9.297,9.252,9.382,9.506,9.615,9.717
CREB_1,1.595,2.343,3.257,4.408,5.661,7.179,8.972,11.095,13.566,16.454,19.805,23.653,27.950,32.950,38.535,44.601,51.170,58.380,65.776,73.012,79.972,85.231,89.416,93.440,96.725,99.271,100.774,100.283,101.690,103.031,104.214,105.322
CROO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CUMB,0.000,0.000,0.049,0.106,0.199,0.327,0.493,0.705,0.965,1.279,1.647,2.069,2.601,3.066,3.586,4.150,4.762,5.433,6.121,6.794,7.442,7.931,8.321,8.695,9.001,9.238,9.378,9.332,9.463,9.588,9.698,9.801
CUPA,0.000,0.000,0.056,0.122,0.229,0.376,0.567,0.811,1.111,1.471,1.895,2.380,2.992,3.527,4.125,4.774,5.477,6.249,7.041,7.815,8.560,9.123,9.571,10.002,10.354,10.626,10.787,10.735,10.885,11.029,11.155,11.274
CURR,0.000,0.000,0.039,0.085,0.158,0.260,0.392,0.561,0.768,1.018,1.311,1.646,2.069,2.439,2.853,3.302,3.788,4.322,4.869,5.405,5.920,6.310,6.620,6.918,7.161,7.349,7.460,7.424,7.528,7.627,7.715,7.797
DALM3,0.000,0.000,0.041,0.089,0.167,0.274,0.414,0.592,0.810,1.073,1.382,1.736,2.182,2.572,3.008,3.482,3.995,4.557,5.135,5.700,6.243,6.653,6.980,7.294,7.551,7.749,7.867,7.828,7.938,8.043,8.135,8.222
DEVM,0.000,0.000,0.030,0.066,0.124,0.203,0.307,0.439,0.601,0.796,1.025,1.287,1.618,1.908,2.231,2.582,2.962,3.380,3.808,4.227,4.630,4.934,5.177,5.409,5.600,5.747,5.834,5.806,5.887,5.965,6.033,6.097
DEVO,0.000,0.000,0.059,0.128,0.240,0.394,0.595,0.850,1.164,1.542,1.986,2.495,3.137,3.698,4.324,5.005,5.742,6.551,7.381,8.193,8.974,9.565,10.034,10.486,10.854,11.140,11.309,11.254,11.411,11.562,11.695,11.819
DEWP,0.800,1.170,1.383,1.668,1.823,1.933,1.980,1.963,1.873,1.721,1.520,1.297,0.734,0.865,1.012,1.171,1.344,1.533,1.728,1.918,2.100,2.239,2.348,2.454,2.540,2.607,2.647,2.634,2.671,2.706,2.737,2.766
