Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
BOLN_1,876.845,869.678,848.515,836.632,846.51,860.405,873.97,888.557,915.126,939.386,962.062,983.613,1010.65,1035.724,1073.937,1101.453,1124.563,1144.131,1161.199,1176.335,1198.48,1215.046,1231.975,1248.794,1265.006,1279.883,1313.384,1336.57,1354.162,1368.062,1396.73,1410.519,,,,
BONN,54.931,54.204,52.689,51.842,52.531,53.53,54.535,55.573,57.279,58.721,60.055,61.304,62.903,64.397,66.791,68.512,69.964,71.202,72.279,73.225,74.631,75.662,76.703,77.74,78.74,79.654,81.801,83.274,84.376,85.23,87.06,87.913,,,,
BOTW_1,157.882,155.677,151.345,149.146,151.616,155.169,158.855,162.746,168.617,173.72,178.531,183.079,188.609,193.714,201.33,206.798,211.371,215.217,218.557,221.513,225.827,229.033,232.269,235.457,238.52,241.31,247.718,252.12,255.413,257.96,263.366,265.889,,,,
BRAC_P,39.326,38.864,37.956,37.476,37.976,38.702,39.464,40.271,41.494,42.559,43.566,44.539,45.76,46.892,48.532,49.722,50.717,51.559,52.293,52.957,53.908,54.644,55.416,56.177,56.916,57.599,59.035,60.048,60.836,61.477,62.723,63.351,,,,
BRAI_1,257.717,254.766,248.579,245.64,249.741,255.56,261.723,268.329,278.112,286.911,295.327,303.398,313.051,321.914,334.316,343.258,350.687,356.886,362.278,367.127,374.038,379.354,384.821,390.173,395.331,400.05,410.184,417.255,422.665,426.971,435.574,439.769,,,,
BRAP,30.135,29.796,29.109,28.73,29.062,29.551,30.065,30.605,31.439,32.158,32.834,33.488,34.337,35.125,36.29,37.135,37.846,38.449,38.98,39.457,40.147,40.682,41.248,41.813,42.362,42.871,43.928,44.675,45.265,45.753,46.681,47.158,,,,
BRAW_1,410.515,406.975,397.204,391.733,396.331,402.849,409.298,416.212,428.47,439.587,449.992,459.921,472.424,484.023,501.563,514.211,524.832,533.827,541.682,548.673,558.861,566.545,574.441,582.291,589.867,596.839,612.282,623.018,631.222,637.764,651.039,657.514,,,,
BRED_1,275.812,273.294,265.974,261.957,265.5,270.454,275.238,280.37,289.659,298.094,305.97,313.351,322.442,330.867,343.95,353.327,361.197,367.853,373.624,378.691,386.183,391.647,397.11,402.516,407.707,412.415,423.645,431.297,436.962,441.279,450.726,455.044,,,,
BRFO_1,689.448,683.609,666.761,657.478,665.721,677.296,688.682,700.93,722.728,742.622,761.271,778.969,800.965,821.338,852.169,874.352,892.96,908.683,922.383,934.525,952.275,965.535,979.04,992.431,1005.324,1017.133,1043.845,1062.298,1076.249,1087.217,1109.986,1120.857,,,,
BRID_P,24.724,24.576,24.092,23.865,24.222,24.708,25.216,25.775,26.657,27.492,28.295,29.074,30.004,30.856,32.01,32.846,33.537,34.113,34.616,35.074,35.713,36.22,36.749,37.264,37.763,38.22,39.158,39.818,40.333,40.752,41.551,41.953,,,,
BRIM_1,314.905,312.537,304.065,298.865,301.684,305.631,309.007,312.595,321.041,328.702,335.645,342.067,350.479,358.374,371.834,381.475,389.658,396.672,402.777,408.071,416.09,421.795,427.477,433.189,438.675,443.676,456.063,464.458,470.651,475.362,485.884,490.676,,,,
BRLE_1,574.111,566.738,550.984,541.132,545.8,552.945,559.668,566.379,579.448,589.984,599.286,608.003,620.457,632.28,653.31,668.46,681.431,692.681,702.565,711.186,724.259,733.733,743.422,753.295,762.833,771.67,792.478,806.814,817.692,826.324,844.469,853.226,,,,
BROA_P,10.92,10.8,10.57,10.463,10.619,10.845,11.091,11.356,11.726,12.056,12.372,12.683,13.06,13.409,13.878,14.219,14.501,14.737,14.944,15.133,15.397,15.609,15.835,16.057,16.271,16.469,16.862,17.143,17.365,17.551,17.892,18.071,,,,
BROR_P,6.979,6.904,6.756,6.672,6.745,6.853,6.966,7.083,7.268,7.426,7.576,7.721,7.912,8.091,8.35,8.536,8.693,8.827,8.946,9.054,9.205,9.328,9.458,9.587,9.714,9.832,10.069,10.237,10.372,10.486,10.696,10.808,,,,
BROX,48.305,47.727,46.503,45.783,46.257,46.957,47.66,48.382,49.616,50.65,51.593,52.493,53.704,54.841,56.682,58.011,59.139,60.107,60.957,61.711,62.824,63.659,64.522,65.393,66.233,67.014,68.753,69.964,70.895,71.649,73.165,73.914,,,,
BRWA1,200.226,197.62,192.714,190.42,193.726,198.464,203.537,208.946,216.665,223.502,230.046,236.329,243.847,250.747,260.363,267.301,273.06,277.867,282.05,285.814,291.172,295.306,299.564,303.735,307.753,311.435,319.289,324.779,328.987,332.348,339.027,342.298,,,,
BUMU_P,42.815,42.514,41.73,41.389,42.032,42.917,43.874,44.924,46.473,47.93,49.343,50.726,52.37,53.875,55.836,57.256,58.431,59.403,60.254,61.037,62.117,62.993,63.919,64.823,65.697,66.505,68.074,69.198,70.089,70.831,72.183,72.889,,,,
BURM_1,441.834,438.071,427.947,421.933,425.943,431.743,437.419,443.445,454.686,464.744,474.052,483.014,494.79,505.776,522.777,535.08,545.469,554.332,562.121,569.073,579.224,586.949,595.01,603.099,610.928,618.203,633.906,644.927,653.487,660.47,674.2,681.12,,,,
BUSH_1,154.114,151.835,147.429,145.336,148.166,152.196,156.403,160.866,167.42,173.167,178.623,183.762,189.844,195.434,203.606,209.463,214.337,218.412,221.933,225.045,229.574,232.92,236.263,239.524,242.651,245.471,252.081,256.588,259.912,262.429,267.922,270.41,,,,
BUST_1,305.874,301.365,291.272,285.974,291.158,298.507,305.708,313.27,325.809,336.694,346.81,356.076,367.225,377.558,394.247,406.122,416.095,424.515,431.757,438.002,447.423,453.994,460.317,466.535,472.467,477.735,491.697,500.962,507.522,512.197,523.627,528.386,,,,
CAAD_P,19.362,19.152,18.721,18.478,18.673,18.963,19.268,19.586,20.087,20.516,20.918,21.311,21.826,22.308,23.025,23.543,23.983,24.358,24.688,24.985,25.413,25.75,26.106,26.462,26.809,27.133,27.796,28.269,28.643,28.955,29.541,29.846,,,,
CAFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CAMB_01,34.139,33.75,32.912,32.501,33.025,33.769,34.549,35.384,36.648,37.779,38.858,39.889,41.131,42.272,43.901,45.074,46.049,46.866,47.576,48.213,49.125,49.822,50.535,51.235,51.91,52.526,53.872,54.808,55.519,56.084,57.227,57.777,,,,
CANTN1,222.99,221.939,216.791,213.541,215.164,217.397,219.267,221.314,226.601,231.591,236.146,240.457,246.182,251.548,260.308,266.622,271.972,276.557,280.574,284.11,289.37,293.254,297.233,301.237,305.101,308.669,316.84,322.49,326.786,330.202,337.273,340.694,,,,
CAPEA1,342.391,338.868,330.306,325.059,327.962,332.263,336.366,340.606,348.823,355.878,362.274,368.359,376.649,384.441,397.309,406.601,414.498,421.29,427.258,432.524,440.356,446.178,452.19,458.269,464.148,469.602,481.89,490.434,496.991,502.271,512.999,518.289,,,,
