Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CONQA1;SASA,297.301,297.609,299.478,300.540,302.220,304.079,305.243,304.720,304.866,305.608,306.778,308.703,312.088,315.797,319.770,324.065,328.469,333.381,338.285,343.037,347.577,352.667,357.092,361.513,365.339,368.644,371.204,372.847,375.242,377.464,379.392,381.399
COUA_P,24.252,24.300,24.453,24.544,24.690,24.855,24.978,24.997,25.073,25.203,25.374,25.610,25.976,26.323,26.703,27.114,27.540,28.013,28.489,28.951,29.394,29.840,30.219,30.593,30.911,31.176,31.372,31.462,31.642,31.808,31.951,32.101
COVE_1,496.124,496.833,500.249,502.384,505.580,509.152,511.615,511.306,512.217,514.248,517.136,521.446,528.314,536.055,544.402,553.438,562.809,573.222,583.673,593.823,603.538,613.705,622.445,631.127,638.591,644.962,649.773,652.468,656.977,661.168,664.823,668.576
COWL_1;ECLA_H,523.974,524.483,527.880,529.851,533.198,537.053,540.023,540.525,542.480,545.764,550.129,556.065,565.280,574.046,583.569,593.894,604.642,616.578,628.596,640.274,651.455,662.594,672.040,681.392,689.346,696.048,700.950,703.235,707.786,712.031,715.694,719.489
COYL,35.761,35.825,36.058,36.202,36.436,36.704,36.918,36.980,37.139,37.388,37.712,38.140,38.787,39.399,40.065,40.789,41.542,42.376,43.219,44.040,44.825,45.589,46.232,46.869,47.406,47.857,48.179,48.313,48.612,48.891,49.130,49.379
CRAI_P,22.751,22.730,22.893,22.991,23.168,23.383,23.560,23.615,23.756,23.984,24.282,24.676,25.283,25.853,26.474,27.146,27.853,28.635,29.426,30.195,30.934,31.650,32.256,32.855,33.368,33.800,34.115,34.262,34.564,34.845,35.093,35.339
CREB_1,478.804,479.901,483.227,485.371,488.390,491.672,493.854,493.418,494.008,495.519,497.727,501.161,506.582,513.237,520.412,528.182,536.202,545.129,554.078,562.758,571.061,579.877,587.454,594.993,601.464,606.992,611.167,613.533,617.420,621.035,624.161,627.414
CROO,51.857,51.691,51.947,52.027,52.217,52.428,52.440,51.989,51.651,51.415,51.219,51.157,51.399,51.738,52.058,52.397,52.718,53.083,53.420,53.743,54.052,54.734,55.399,56.079,56.713,57.306,57.854,58.438,58.970,59.457,59.901,60.344
CUMB,45.770,45.924,46.209,46.382,46.644,46.930,47.151,47.206,47.355,47.581,47.876,48.267,48.848,49.396,49.994,50.646,51.317,52.066,52.819,53.547,54.246,54.933,55.508,56.073,56.546,56.939,57.212,57.307,57.551,57.777,57.963,58.171
CUPA,47.541,47.655,47.953,48.133,48.417,48.733,48.973,49.016,49.173,49.423,49.755,50.204,50.892,51.545,52.258,53.030,53.829,54.720,55.616,56.482,57.314,58.145,58.847,59.542,60.128,60.619,60.972,61.125,61.448,61.747,62.000,62.274
CURR,10.812,10.806,10.898,10.965,11.078,11.221,11.360,11.456,11.609,11.819,12.082,12.405,12.863,13.285,13.749,14.250,14.783,15.371,15.968,16.552,17.111,17.608,18.022,18.425,18.767,19.044,19.240,19.292,19.476,19.649,19.799,19.950
DALM3,27.447,27.494,27.676,27.786,27.965,28.173,28.337,28.384,28.506,28.699,28.949,29.281,29.781,30.254,30.768,31.327,31.910,32.556,33.208,33.841,34.449,35.040,35.538,36.031,36.447,36.794,37.045,37.149,37.380,37.596,37.782,37.975
DEVM,24.785,24.879,25.038,25.137,25.288,25.453,25.586,25.644,25.753,25.906,26.100,26.345,26.696,27.022,27.380,27.770,28.173,28.622,29.076,29.516,29.938,30.332,30.659,30.979,31.245,31.462,31.605,31.641,31.767,31.887,31.983,32.092
DEVO,53.823,53.866,54.197,54.382,54.691,55.045,55.290,55.250,55.348,55.566,55.879,56.340,57.116,57.873,58.684,59.567,60.477,61.489,62.503,63.485,64.428,65.438,66.309,67.173,67.919,68.557,69.042,69.328,69.780,70.202,70.568,70.949
DEWP,56.893,57.529,58.033,58.473,58.839,59.136,59.263,59.115,58.940,58.715,58.451,58.196,57.652,57.830,58.024,58.241,58.432,58.657,58.872,59.073,59.262,59.552,59.791,60.040,60.237,60.409,60.530,60.603,60.695,60.777,60.827,60.920
DOUN_P,6.546,6.553,6.586,6.601,6.626,6.650,6.657,6.625,6.600,6.585,6.570,6.566,6.581,6.605,6.629,6.652,6.673,6.696,6.721,6.740,6.760,6.808,6.855,6.903,6.945,6.986,7.021,7.058,7.090,7.119,7.146,7.174
DRAK_1,214.328,214.574,215.906,216.648,217.905,219.323,220.341,220.321,220.829,221.807,223.156,225.076,228.174,231.166,234.401,237.909,241.531,245.565,249.612,253.539,257.296,261.203,264.540,267.856,270.686,273.089,274.878,275.819,277.474,279.015,280.337,281.727
DRAX_1,119.339,119.470,120.170,120.534,121.108,121.716,122.001,121.561,121.336,121.290,121.355,121.665,122.430,123.407,124.429,125.531,126.628,127.862,129.073,130.239,131.350,132.850,134.195,135.554,136.749,137.812,138.680,139.386,140.198,140.949,141.598,142.287
DRCR,17.838,17.860,17.980,18.053,18.174,18.312,18.426,18.460,18.546,18.679,18.854,19.086,19.435,19.765,20.124,20.513,20.921,21.372,21.826,22.269,22.695,23.105,23.452,23.798,24.087,24.331,24.507,24.582,24.745,24.897,25.029,25.165
DRUM,59.670,59.529,59.902,60.093,60.461,60.904,61.191,61.049,61.106,61.355,61.738,62.345,63.448,64.547,65.719,66.980,68.294,69.747,71.204,72.617,73.973,75.481,76.805,78.124,79.281,80.289,81.086,81.627,82.392,83.104,83.740,84.370
DUBE_P,0.003,0.003,0.006,0.009,0.015,0.022,0.032,0.044,0.059,0.078,0.099,0.124,0.155,0.182,0.212,0.245,0.281,0.320,0.360,0.399,0.437,0.465,0.488,0.510,0.528,0.542,0.550,0.547,0.555,0.562,0.569,0.576
DUDH_P,41.872,42.240,42.602,42.904,43.199,43.473,43.651,43.644,43.661,43.691,43.734,43.827,43.849,44.247,44.682,45.159,45.642,46.185,46.726,47.249,47.751,48.258,48.677,49.095,49.438,49.724,49.918,49.985,50.153,50.311,50.435,50.583
DUGR_P,5.020,5.025,5.062,5.085,5.127,5.173,5.216,5.238,5.278,5.335,5.407,5.500,5.632,5.758,5.891,6.038,6.193,6.364,6.538,6.706,6.867,7.017,7.140,7.263,7.366,7.450,7.510,7.530,7.587,7.638,7.682,7.729
DUMF,56.799,56.898,57.223,57.394,57.628,57.852,57.897,57.567,57.306,57.092,56.899,56.785,56.799,57.009,57.207,57.425,57.612,57.833,58.031,58.215,58.388,58.841,59.272,59.719,60.124,60.506,60.845,61.214,61.532,61.826,62.080,62.355
DUNB,21.004,21.048,21.195,21.288,21.443,21.619,21.776,21.852,21.993,22.194,22.448,22.773,23.240,23.672,24.147,24.663,25.204,25.804,26.410,27.000,27.567,28.092,28.527,28.956,29.315,29.614,29.820,29.884,30.075,30.252,30.406,30.564
DUNF,32.736,32.720,32.926,33.041,33.241,33.475,33.640,33.610,33.675,33.832,34.058,34.388,34.952,35.502,36.094,36.734,37.395,38.135,38.871,39.589,40.280,41.012,41.648,42.282,42.831,43.301,43.663,43.884,44.227,44.546,44.827,45.112
DUNO_P,11.481,11.511,11.591,11.641,11.720,11.812,11.893,11.930,12.002,12.103,12.231,12.392,12.623,12.837,13.071,13.327,13.594,13.890,14.192,14.482,14.762,15.020,15.235,15.445,15.621,15.766,15.866,15.893,15.985,16.070,16.143,16.219
DYCE_P,31.688,31.890,32.177,32.415,32.688,32.981,33.218,33.317,33.482,33.710,33.997,34.371,34.829,35.482,36.195,36.969,37.785,38.687,39.600,40.487,41.341,42.124,42.776,43.416,43.951,44.392,44.697,44.783,45.064,45.327,45.551,45.786
EALI_6,202.614,202.910,204.148,204.833,205.976,207.250,208.145,208.076,208.472,209.275,210.397,212.017,214.661,217.224,219.995,223.002,226.089,229.534,232.986,236.330,239.530,242.909,245.794,248.668,251.116,253.200,254.751,255.584,257.013,258.342,259.473,260.679
EASO_1,299.871,300.819,303.560,305.698,308.681,312.167,315.352,317.358,320.471,324.686,329.891,336.416,345.133,354.349,364.485,375.478,387.138,400.014,413.092,425.839,438.074,448.892,457.844,466.608,473.957,479.969,484.079,485.034,488.866,492.462,495.593,498.733
ECCL,23.829,23.861,24.015,24.109,24.260,24.436,24.572,24.598,24.689,24.842,25.040,25.311,25.727,26.125,26.559,27.027,27.513,28.055,28.601,29.130,29.639,30.141,30.571,30.994,31.354,31.657,31.878,31.981,32.187,32.378,32.544,32.714
ECLA_1,379.408,380.766,384.195,386.882,390.326,394.200,397.340,398.489,400.746,404.092,408.368,414.060,421.712,431.211,441.585,452.824,464.681,477.793,491.063,503.988,516.383,527.956,537.675,547.236,555.342,562.084,566.895,568.679,573.192,577.410,581.104,584.813
EERH,69.336,69.398,69.831,70.075,70.484,70.951,71.281,71.255,71.410,71.725,72.165,72.798,73.841,74.854,75.945,77.127,78.351,79.712,81.076,82.400,83.666,85.002,86.150,87.291,88.270,89.105,89.735,90.088,90.675,91.221,91.697,92.187
