Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NORL_3,0.035,0.038,0.040,0.043,0.046,0.051,0.054,0.060,0.066,0.072,0.083,0.089,0.094,0.100,0.107,0.115,0.123,0.132,0.141,0.150,0.161,0.171,0.183,0.195,0.208,0.220,0.232,0.244,0.257,0.270,0.283,0.304
NORM_1;SALL1,0.360,0.386,0.410,0.436,0.465,0.515,0.552,0.612,0.674,0.737,0.848,0.902,0.959,1.020,1.094,1.172,1.254,1.341,1.434,1.531,1.636,1.745,1.864,1.989,2.122,2.242,2.365,2.490,2.617,2.746,2.878,3.099
NORT_1,0.256,0.274,0.291,0.309,0.330,0.365,0.391,0.434,0.478,0.523,0.601,0.639,0.680,0.723,0.776,0.831,0.889,0.951,1.016,1.086,1.159,1.238,1.321,1.410,1.504,1.590,1.677,1.765,1.855,1.947,2.041,2.197
NURS_1,0.148,0.158,0.168,0.179,0.191,0.211,0.226,0.251,0.276,0.302,0.347,0.370,0.393,0.418,0.448,0.480,0.514,0.550,0.588,0.628,0.671,0.716,0.764,0.815,0.870,0.919,0.970,1.021,1.073,1.126,1.180,1.271
OCKH_1,0.058,0.062,0.065,0.070,0.074,0.082,0.088,0.098,0.108,0.118,0.135,0.144,0.153,0.163,0.174,0.187,0.200,0.214,0.229,0.244,0.261,0.278,0.297,0.317,0.338,0.358,0.377,0.397,0.417,0.438,0.459,0.494
OFFE_3,0.034,0.037,0.039,0.042,0.044,0.049,0.053,0.058,0.064,0.070,0.081,0.086,0.091,0.097,0.104,0.112,0.120,0.128,0.137,0.146,0.156,0.166,0.178,0.190,0.202,0.214,0.225,0.237,0.249,0.262,0.274,0.295
OLDB_1,0.062,0.067,0.071,0.075,0.080,0.089,0.095,0.106,0.116,0.127,0.146,0.156,0.166,0.176,0.189,0.202,0.216,0.232,0.247,0.264,0.282,0.301,0.322,0.343,0.366,0.387,0.408,0.430,0.452,0.474,0.497,0.535
OSBA_1,0.170,0.183,0.194,0.206,0.220,0.243,0.261,0.289,0.319,0.348,0.400,0.426,0.453,0.482,0.517,0.553,0.592,0.633,0.677,0.723,0.772,0.825,0.880,0.939,1.002,1.059,1.117,1.176,1.236,1.297,1.360,1.464
PADIB1,0.114,0.122,0.130,0.138,0.147,0.163,0.175,0.194,0.213,0.233,0.268,0.285,0.303,0.323,0.346,0.371,0.397,0.424,0.453,0.484,0.517,0.552,0.589,0.629,0.671,0.709,0.748,0.787,0.828,0.869,0.910,0.980
PAIS,0.010,0.010,0.011,0.012,0.012,0.014,0.015,0.016,0.018,0.020,0.022,0.024,0.025,0.027,0.029,0.031,0.033,0.036,0.038,0.041,0.043,0.046,0.049,0.053,0.056,0.060,0.063,0.066,0.069,0.073,0.076,0.082
