Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BUSH_1,41.057,39.187,38.767,38.105,37.599,37.012,36.423,35.836,35.261,34.680,34.093,33.696,33.510,33.352,33.221,33.125,33.063,33.054,33.102,33.180,33.303,33.519,33.868,34.304,34.784,35.330,35.867,36.382,36.798,37.145,37.495,37.800
BUST_1,70.693,67.472,66.750,65.609,64.738,63.727,62.714,61.703,60.712,59.713,58.702,58.018,57.698,57.425,57.201,57.034,56.928,56.912,56.995,57.129,57.342,57.713,58.314,59.064,59.892,60.831,61.756,62.644,63.359,63.957,64.560,65.085
CAAD_P,6.505,6.217,6.152,6.051,5.972,5.881,5.789,5.697,5.608,5.518,5.427,5.365,5.337,5.313,5.294,5.280,5.271,5.272,5.280,5.294,5.315,5.351,5.407,5.477,5.555,5.642,5.729,5.812,5.879,5.936,5.993,6.044
CAMB_01,10.058,9.600,9.497,9.335,9.211,9.067,8.923,8.779,8.638,8.496,8.352,8.255,8.209,8.170,8.138,8.115,8.099,8.097,8.109,8.128,8.158,8.211,8.297,8.403,8.521,8.655,8.786,8.913,9.014,9.100,9.185,9.260
CANTN1;RICH1;RICH_J,117.482,112.130,110.929,109.033,107.586,105.905,104.221,102.541,100.895,99.234,97.555,96.417,95.885,95.433,95.060,94.784,94.606,94.579,94.717,94.941,95.294,95.910,96.909,98.157,99.532,101.093,102.629,104.105,105.294,106.288,107.289,108.161
CAPEA1,105.917,101.092,100.009,98.300,96.995,95.481,93.962,92.447,90.963,89.465,87.952,86.926,86.447,86.039,85.702,85.453,85.293,85.269,85.393,85.594,85.913,86.469,87.370,88.494,89.734,91.141,92.527,93.857,94.928,95.824,96.728,97.514
CARE_1,40.405,38.564,38.151,37.499,37.001,36.423,35.844,35.266,34.700,34.129,33.551,33.160,32.977,32.822,32.693,32.598,32.537,32.528,32.575,32.652,32.774,32.986,33.329,33.758,34.231,34.768,35.297,35.804,36.213,36.555,36.899,37.199
CARR_1,86.318,82.386,81.504,80.111,79.047,77.813,76.575,75.341,74.131,72.911,71.677,70.841,70.451,70.118,69.844,69.641,69.511,69.491,69.592,69.756,70.016,70.469,71.203,72.119,73.130,74.276,75.406,76.490,77.363,78.093,78.830,79.471
CASS_P,0.529,0.505,0.500,0.492,0.485,0.478,0.470,0.463,0.456,0.448,0.441,0.436,0.434,0.432,0.430,0.429,0.428,0.428,0.429,0.430,0.432,0.435,0.439,0.445,0.451,0.459,0.466,0.472,0.478,0.482,0.487,0.491
CATY,5.216,4.985,4.933,4.851,4.788,4.715,4.641,4.568,4.496,4.424,4.351,4.301,4.279,4.260,4.244,4.233,4.226,4.227,4.234,4.245,4.262,4.290,4.335,4.392,4.454,4.524,4.593,4.660,4.714,4.759,4.805,4.846
CEAN_P,0.465,0.445,0.440,0.433,0.427,0.420,0.414,0.407,0.401,0.395,0.388,0.384,0.382,0.380,0.379,0.378,0.377,0.377,0.378,0.379,0.380,0.383,0.387,0.392,0.397,0.403,0.410,0.416,0.420,0.424,0.429,0.432
CELL_1,195.537,186.629,184.631,181.475,179.066,176.270,173.466,170.670,167.929,165.165,162.370,160.477,159.592,158.839,158.218,157.757,157.462,157.419,157.647,158.019,158.607,159.634,161.296,163.372,165.662,168.258,170.817,173.273,175.251,176.905,178.573,180.024
CHAP,15.968,15.261,15.102,14.853,14.659,14.435,14.210,13.985,13.766,13.544,13.320,13.169,13.100,13.042,12.994,12.961,12.939,12.940,12.962,12.995,13.047,13.134,13.273,13.445,13.635,13.850,14.062,14.267,14.432,14.571,14.711,14.835
CHAR_P,5.059,4.835,4.785,4.706,4.644,4.573,4.502,4.431,4.361,4.291,4.220,4.172,4.150,4.132,4.117,4.106,4.099,4.100,4.107,4.117,4.134,4.161,4.205,4.260,4.320,4.388,4.455,4.520,4.572,4.616,4.661,4.700
CHAS,26.448,25.276,25.013,24.600,24.280,23.908,23.535,23.164,22.800,22.433,22.062,21.811,21.698,21.602,21.522,21.467,21.431,21.432,21.468,21.523,21.610,21.754,21.984,22.269,22.584,22.940,23.292,23.630,23.904,24.133,24.367,24.571
CHIC_1,34.235,32.675,32.325,31.773,31.351,30.861,30.371,29.881,29.401,28.917,28.428,28.096,27.941,27.810,27.701,27.620,27.569,27.561,27.601,27.666,27.769,27.949,28.240,28.603,29.004,29.459,29.907,30.337,30.683,30.973,31.265,31.519
CHSI_1,73.267,69.929,69.180,67.998,67.095,66.048,64.997,63.949,62.922,61.887,60.839,60.130,59.798,59.516,59.284,59.111,59.000,58.984,59.070,59.209,59.429,59.814,60.437,61.215,62.073,63.046,64.004,64.924,65.666,66.285,66.911,67.454
CHTE_1,161.744,154.375,152.723,150.112,148.119,145.807,143.487,141.174,138.907,136.621,134.309,132.743,132.011,131.388,130.874,130.493,130.249,130.213,130.402,130.709,131.196,132.046,133.421,135.137,137.032,139.179,141.296,143.327,144.964,146.332,147.712,148.912
CITR_1,282.359,269.496,266.611,262.053,258.575,254.538,250.489,246.450,242.493,238.502,234.466,231.732,230.455,229.367,228.470,227.805,227.378,227.316,227.646,228.182,229.032,230.515,232.915,235.912,239.219,242.968,246.663,250.209,253.066,255.454,257.864,259.959
CLAY_P,11.256,10.757,10.645,10.470,10.333,10.175,10.016,9.858,9.703,9.547,9.389,9.283,9.234,9.193,9.160,9.136,9.121,9.121,9.136,9.160,9.197,9.258,9.356,9.477,9.611,9.763,9.913,10.056,10.173,10.271,10.370,10.457
CLYM,21.684,20.723,20.507,20.169,19.907,19.602,19.296,18.991,18.693,18.392,18.088,17.882,17.789,17.711,17.646,17.600,17.571,17.572,17.601,17.646,17.717,17.835,18.024,18.258,18.516,18.808,19.096,19.373,19.598,19.786,19.977,20.145
COAT,17.656,16.874,16.698,16.422,16.209,15.960,15.711,15.463,15.220,14.976,14.728,14.560,14.485,14.421,14.368,14.330,14.307,14.307,14.331,14.368,14.426,14.522,14.676,14.866,15.076,15.314,15.549,15.774,15.957,16.111,16.266,16.403
COCK,13.065,12.487,12.356,12.153,11.994,11.811,11.627,11.443,11.263,11.082,10.899,10.775,10.719,10.671,10.632,10.605,10.587,10.588,10.605,10.633,10.675,10.747,10.860,11.001,11.157,11.332,11.506,11.673,11.809,11.922,12.037,12.138
CONQA1;SASA,86.731,82.780,81.894,80.494,79.425,78.185,76.941,75.701,74.485,73.260,72.020,71.180,70.788,70.454,70.178,69.974,69.843,69.823,69.925,70.090,70.351,70.806,71.544,72.464,73.480,74.631,75.767,76.856,77.733,78.467,79.207,79.851
COUA_P,7.908,7.558,7.479,7.356,7.260,7.149,7.037,6.926,6.817,6.708,6.597,6.522,6.488,6.459,6.435,6.419,6.408,6.408,6.419,6.436,6.462,6.505,6.573,6.659,6.753,6.859,6.964,7.066,7.148,7.216,7.286,7.347
COVE_1,142.569,136.074,134.617,132.316,130.560,128.521,126.477,124.438,122.440,120.424,118.387,117.006,116.361,115.812,115.359,115.023,114.808,114.776,114.943,115.214,115.643,116.392,117.604,119.117,120.787,122.680,124.545,126.336,127.778,128.984,130.201,131.259
COWL_1;ECLA_H,160.535,153.221,151.581,148.989,147.012,144.717,142.415,140.119,137.869,135.600,133.305,131.751,131.024,130.406,129.896,129.518,129.275,129.240,129.427,129.732,130.216,131.058,132.423,134.127,136.007,138.139,140.240,142.256,143.880,145.238,146.608,147.799
COYL,11.472,10.964,10.850,10.671,10.532,10.370,10.209,10.048,9.890,9.731,9.570,9.461,9.412,9.370,9.336,9.311,9.296,9.296,9.312,9.336,9.374,9.436,9.536,9.660,9.796,9.951,10.103,10.250,10.369,10.468,10.569,10.658
CRAI_P,5.821,5.563,5.505,5.415,5.344,5.262,5.180,5.098,5.018,4.938,4.856,4.801,4.776,4.755,4.737,4.725,4.717,4.717,4.725,4.737,4.756,4.788,4.839,4.901,4.971,5.049,5.126,5.201,5.261,5.312,5.363,5.408
CREB_1,143.301,136.773,135.308,132.995,131.230,129.181,127.126,125.077,123.069,121.043,118.995,117.607,116.959,116.407,115.952,115.614,115.397,115.366,115.533,115.805,116.237,116.989,118.208,119.728,121.407,123.310,125.185,126.984,128.434,129.646,130.869,131.933
CROO,10.345,9.887,9.783,9.622,9.497,9.351,9.205,9.061,8.918,8.774,8.630,8.532,8.487,8.450,8.419,8.397,8.383,8.383,8.397,8.419,8.453,8.509,8.599,8.711,8.834,8.973,9.111,9.243,9.349,9.440,9.531,9.610
CUMB,16.504,15.773,15.608,15.351,15.151,14.919,14.686,14.455,14.227,13.999,13.767,13.611,13.540,13.480,13.430,13.396,13.374,13.374,13.396,13.431,13.485,13.575,13.718,13.896,14.093,14.315,14.534,14.745,14.916,15.060,15.205,15.333
CUPA,16.001,15.292,15.133,14.883,14.689,14.464,14.239,14.014,13.794,13.572,13.348,13.196,13.127,13.069,13.021,12.987,12.966,12.966,12.988,13.022,13.074,13.161,13.300,13.473,13.663,13.879,14.091,14.296,14.462,14.601,14.742,14.865
CURR,2.805,2.681,2.653,2.609,2.576,2.536,2.497,2.457,2.418,2.380,2.340,2.314,2.302,2.291,2.283,2.277,2.273,2.273,2.277,2.283,2.292,2.308,2.332,2.362,2.396,2.433,2.471,2.507,2.536,2.560,2.585,2.606
DALM3,8.771,8.383,8.295,8.159,8.052,7.929,7.805,7.682,7.562,7.440,7.317,7.234,7.196,7.164,7.138,7.119,7.108,7.108,7.120,7.138,7.167,7.215,7.291,7.386,7.490,7.608,7.725,7.837,7.928,8.004,8.081,8.149
DEVM,9.234,8.825,8.733,8.589,8.477,8.347,8.217,8.087,7.960,7.832,7.703,7.615,7.575,7.542,7.514,7.495,7.482,7.483,7.495,7.515,7.545,7.595,7.675,7.775,7.885,8.009,8.132,8.250,8.346,8.426,8.507,8.579
DEVO,16.017,15.307,15.147,14.898,14.704,14.479,14.253,14.028,13.807,13.585,13.361,13.209,13.140,13.082,13.034,13.000,12.979,12.979,13.001,13.034,13.087,13.174,13.313,13.486,13.677,13.892,14.105,14.310,14.476,14.615,14.756,14.880
DEWP,22.171,21.189,20.968,20.622,20.354,20.042,19.729,19.418,19.113,18.805,18.494,18.284,18.189,18.108,18.042,17.995,17.966,17.966,17.996,18.043,18.115,18.236,18.429,18.668,18.932,19.230,19.525,19.808,20.038,20.231,20.426,20.598
DOUN_P,2.025,1.935,1.915,1.883,1.859,1.830,1.802,1.773,1.746,1.718,1.689,1.670,1.661,1.654,1.648,1.644,1.641,1.641,1.644,1.648,1.655,1.666,1.683,1.705,1.729,1.756,1.783,1.809,1.830,1.848,1.866,1.881
