Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CAAD_P,0.000,0.000,0.051,0.141,0.266,0.433,0.638,0.868,1.103,1.338,1.585,1.829,2.067,2.276,2.442,2.562,2.652,2.716,2.769,2.824,2.881,2.943,3.009,3.063,3.116,3.162,3.201,3.236,3.267,3.294,3.317,3.334
CAMB_01,0.097,0.159,0.321,0.567,0.877,1.280,1.772,2.336,2.936,3.564,4.222,4.871,5.506,6.061,6.504,6.825,7.064,7.233,7.374,7.522,7.673,7.837,8.013,8.159,8.299,8.420,8.526,8.618,8.700,8.773,8.835,8.880
CANTN1;RICH1;RICH_J,2.774,4.566,6.280,8.204,9.929,11.947,14.344,17.320,21.137,25.657,30.390,35.064,39.637,43.634,46.817,49.130,50.850,52.067,53.084,54.147,55.236,56.415,57.685,58.734,59.739,60.615,61.379,62.042,62.630,63.155,63.598,63.921
CAPEA1,1.149,1.890,2.770,3.866,4.996,6.388,8.062,10.061,12.422,15.079,17.861,20.608,23.296,25.645,27.516,28.875,29.886,30.601,31.198,31.824,32.463,33.156,33.902,34.519,35.110,35.625,36.074,36.463,36.809,37.117,37.378,37.568
CARE_1,1.360,2.238,3.062,3.976,4.782,5.718,6.827,8.212,10.008,12.148,14.389,16.602,18.767,20.659,22.167,23.262,24.076,24.652,25.133,25.637,26.153,26.711,27.312,27.809,28.285,28.699,29.061,29.375,29.654,29.902,30.112,30.265
CARR_1,0.000,0.000,0.789,2.176,4.103,6.678,9.832,13.387,17.002,20.638,24.446,28.206,31.884,35.099,37.660,39.521,40.904,41.883,42.700,43.556,44.432,45.381,46.402,47.246,48.054,48.759,49.374,49.906,50.380,50.802,51.158,51.419
CASS_P,0.000,0.000,0.012,0.032,0.060,0.098,0.144,0.196,0.249,0.302,0.358,0.413,0.467,0.514,0.551,0.579,0.599,0.613,0.625,0.638,0.651,0.664,0.679,0.692,0.704,0.714,0.723,0.731,0.738,0.744,0.749,0.753
CATY,0.000,0.000,0.243,0.670,1.264,2.056,3.028,4.123,5.236,6.356,7.529,8.686,9.819,10.809,11.598,12.171,12.597,12.899,13.150,13.414,13.684,13.976,14.290,14.550,14.799,15.016,15.206,15.370,15.515,15.645,15.755,15.835
CEAN_P,0.000,0.000,0.001,0.003,0.005,0.008,0.012,0.017,0.021,0.026,0.031,0.035,0.040,0.044,0.047,0.050,0.051,0.052,0.054,0.055,0.056,0.057,0.058,0.059,0.060,0.061,0.062,0.063,0.063,0.064,0.064,0.064
CELL_1,2.294,3.775,5.724,8.248,10.971,14.374,18.479,23.332,28.922,35.107,41.584,47.980,54.237,59.706,64.062,67.227,69.580,71.245,72.636,74.092,75.581,77.195,78.932,80.368,81.743,82.942,83.987,84.894,85.699,86.417,87.024,87.466
CHAP,0.000,0.000,0.101,0.278,0.524,0.852,1.255,1.708,2.170,2.634,3.119,3.599,4.068,4.479,4.805,5.043,5.219,5.344,5.449,5.558,5.669,5.790,5.921,6.029,6.132,6.222,6.300,6.368,6.428,6.482,6.528,6.561
