Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CHTE_1,3.097,4.012,4.425,5.152,5.869,6.656,8.182,9.709,11.637,13.371,15.224,16.943,18.515,20.960,23.066,24.926,27.904,30.495,34.014,36.369,38.620,40.503,44.230,52.201,56.655,58.922,63.129,69.479,74.490,76.511,77.044,79.626
CITR_1,1.730,2.241,2.471,2.878,3.278,3.717,4.570,5.423,6.500,7.468,8.503,9.463,10.341,11.707,12.883,13.922,15.585,17.033,18.998,20.314,21.571,22.622,24.704,29.156,31.644,32.910,35.260,38.806,41.605,42.734,43.032,44.474
CLAY_P,0.060,0.077,0.085,0.099,0.113,0.128,0.158,0.187,0.224,0.258,0.293,0.326,0.357,0.404,0.444,0.480,0.538,0.588,0.655,0.701,0.744,0.780,0.852,1.006,1.092,1.135,1.216,1.339,1.435,1.474,1.484,1.534
CLYM,0.335,0.434,0.478,0.557,0.635,0.720,0.885,1.050,1.259,1.446,1.646,1.832,2.002,2.267,2.494,2.696,3.018,3.298,3.678,3.933,4.177,4.380,4.783,5.645,6.127,6.372,6.827,7.514,8.056,8.274,8.332,8.611
COAT,0.285,0.370,0.408,0.475,0.541,0.613,0.754,0.894,1.072,1.232,1.402,1.561,1.706,1.931,2.125,2.296,2.570,2.809,3.133,3.350,3.558,3.731,4.074,4.809,5.219,5.428,5.815,6.400,6.862,7.048,7.097,7.335
COCK,0.235,0.305,0.336,0.392,0.446,0.506,0.622,0.738,0.885,1.017,1.158,1.288,1.408,1.594,1.754,1.895,2.122,2.319,2.587,2.766,2.937,3.080,3.363,3.970,4.308,4.481,4.801,5.283,5.665,5.818,5.859,6.055
CONQA1;SASA,1.800,2.332,2.572,2.994,3.411,3.869,4.756,5.644,6.765,7.772,8.850,9.849,10.762,12.184,13.408,14.489,16.220,17.726,19.773,21.141,22.449,23.544,25.710,30.344,32.933,34.251,36.697,40.388,43.300,44.475,44.785,46.286
COUA_P,0.124,0.161,0.178,0.207,0.236,0.267,0.329,0.390,0.467,0.537,0.611,0.680,0.744,0.842,0.926,1.001,1.121,1.225,1.366,1.461,1.551,1.627,1.776,2.097,2.275,2.367,2.535,2.790,2.992,3.073,3.094,3.198
COVE_1,3.062,3.967,4.375,5.094,5.803,6.581,8.090,9.600,11.507,13.220,15.054,16.753,18.307,20.725,22.807,24.646,27.591,30.153,33.632,35.961,38.187,40.048,43.733,51.615,56.019,58.261,62.421,68.699,73.654,75.652,76.179,78.732
COWL_1;ECLA_H,2.870,3.718,4.100,4.774,5.439,6.167,7.581,8.997,10.784,12.390,14.108,15.700,17.157,19.423,21.374,23.098,25.857,28.258,31.519,33.702,35.787,37.532,40.985,48.372,52.499,54.600,58.499,64.382,69.026,70.899,71.393,73.785
