Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRED_1,117.820,116.377,116.945,116.855,117.152,117.604,117.335,115.362,113.871,112.799,111.877,111.525,112.231,112.837,113.488,114.108,114.657,115.520,116.359,117.164,117.942,118.408,118.947,119.666,120.360,121.000,121.600,122.107,122.564,122.960,123.307,123.593
BRFO_1;CLT03,281.508,278.059,279.417,279.202,279.912,280.992,280.349,275.635,272.074,269.512,267.308,266.467,268.154,269.603,271.158,272.639,273.952,276.012,278.017,279.939,281.799,282.913,284.201,285.919,287.576,289.107,290.540,291.751,292.842,293.789,294.617,295.300
BRID_P,8.419,8.316,8.356,8.350,8.371,8.403,8.384,8.243,8.137,8.060,7.994,7.969,8.020,8.063,8.109,8.154,8.193,8.255,8.315,8.372,8.428,8.461,8.499,8.551,8.600,8.646,8.689,8.725,8.758,8.786,8.811,8.831
BRIM_1,132.878,131.250,131.891,131.790,132.125,132.634,132.331,130.106,128.425,127.216,126.176,125.778,126.575,127.258,127.992,128.692,129.311,130.284,131.230,132.138,133.015,133.541,134.149,134.960,135.743,136.465,137.141,137.713,138.228,138.675,139.066,139.388
BROA_P,3.447,3.405,3.421,3.419,3.427,3.440,3.433,3.375,3.331,3.300,3.273,3.263,3.283,3.301,3.320,3.338,3.354,3.379,3.404,3.428,3.450,3.464,3.480,3.501,3.521,3.540,3.557,3.572,3.586,3.597,3.607,3.616
BROR_P,2.079,2.053,2.063,2.062,2.067,2.075,2.070,2.035,2.009,1.990,1.974,1.968,1.980,1.991,2.002,2.013,2.023,2.038,2.053,2.067,2.081,2.089,2.099,2.111,2.123,2.135,2.145,2.154,2.162,2.169,2.175,2.180
BROX,16.916,16.709,16.790,16.777,16.820,16.885,16.846,16.563,16.349,16.195,16.063,16.012,16.113,16.200,16.294,16.383,16.462,16.586,16.706,16.822,16.933,17.000,17.078,17.181,17.281,17.372,17.459,17.531,17.597,17.654,17.704,17.745
BRWA1,75.773,74.845,75.210,75.153,75.344,75.634,75.461,74.192,73.234,72.544,71.951,71.724,72.179,72.569,72.987,73.386,73.739,74.294,74.834,75.351,75.851,76.151,76.498,76.961,77.407,77.819,78.204,78.530,78.824,79.079,79.302,79.486
BUMU_P,13.475,13.310,13.375,13.364,13.398,13.450,13.419,13.194,13.023,12.900,12.795,12.755,12.835,12.905,12.979,13.050,13.113,13.212,13.308,13.400,13.489,13.542,13.604,13.686,13.765,13.838,13.907,13.965,14.017,14.063,14.102,14.135
BURM_1,151.099,149.247,149.976,149.861,150.242,150.821,150.477,147.946,146.035,144.660,143.477,143.025,143.931,144.708,145.543,146.338,147.043,148.149,149.225,150.257,151.255,151.853,152.544,153.466,154.356,155.177,155.946,156.596,157.182,157.690,158.135,158.502
BUSH_1,68.836,67.993,68.325,68.273,68.446,68.710,68.553,67.400,66.529,65.903,65.364,65.158,65.571,65.925,66.305,66.668,66.989,67.493,67.983,68.453,68.907,69.180,69.495,69.915,70.320,70.695,71.045,71.341,71.608,71.839,72.042,72.209
BUST_1,157.540,155.610,156.370,156.250,156.648,157.251,156.892,154.254,152.261,150.827,149.594,149.123,150.067,150.878,151.748,152.577,153.312,154.465,155.587,156.663,157.703,158.327,159.048,160.009,160.937,161.793,162.595,163.273,163.883,164.413,164.877,165.259
CAAD_P,5.980,5.907,5.936,5.931,5.946,5.969,5.955,5.855,5.780,5.725,5.678,5.660,5.696,5.727,5.760,5.792,5.819,5.863,5.906,5.947,5.986,6.010,6.037,6.074,6.109,6.141,6.172,6.198,6.221,6.241,6.258,6.273
CAMB_01,13.213,13.052,13.115,13.105,13.139,13.189,13.159,12.938,12.771,12.650,12.547,12.507,12.587,12.655,12.728,12.797,12.859,12.955,13.050,13.140,13.227,13.279,13.340,13.420,13.498,13.570,13.637,13.694,13.745,13.790,13.829,13.861
CANTN1;RICH1;RICH_J,158.385,156.445,157.209,157.088,157.488,158.094,157.733,155.081,153.077,151.636,150.396,149.922,150.872,151.687,152.562,153.395,154.133,155.293,156.422,157.503,158.549,159.176,159.900,160.867,161.799,162.661,163.467,164.148,164.762,165.294,165.761,166.145
CAPEA1,122.181,120.684,121.274,121.180,121.489,121.957,121.678,119.632,118.086,116.974,116.018,115.653,116.385,117.014,117.689,118.332,118.901,119.796,120.666,121.500,122.307,122.791,123.350,124.096,124.815,125.479,126.101,126.627,127.100,127.511,127.871,128.167
CARE_1,44.629,44.082,44.297,44.263,44.376,44.547,44.445,43.698,43.133,42.727,42.378,42.244,42.512,42.741,42.988,43.223,43.431,43.757,44.075,44.380,44.675,44.851,45.056,45.328,45.591,45.833,46.061,46.253,46.426,46.576,46.707,46.815
CARR_1,125.672,124.133,124.739,124.643,124.960,125.442,125.155,123.050,121.461,120.317,119.333,118.957,119.711,120.357,121.052,121.713,122.299,123.219,124.114,124.972,125.802,126.299,126.874,127.642,128.381,129.065,129.704,130.245,130.732,131.155,131.524,131.829
CASS_P,0.260,0.256,0.258,0.257,0.258,0.259,0.258,0.254,0.251,0.248,0.246,0.246,0.247,0.249,0.250,0.251,0.253,0.254,0.256,0.258,0.260,0.261,0.262,0.264,0.265,0.267,0.268,0.269,0.270,0.271,0.272,0.272
CATY,6.531,6.451,6.483,6.478,6.494,6.519,6.504,6.395,6.312,6.253,6.202,6.182,6.221,6.255,6.291,6.326,6.356,6.404,6.450,6.495,6.538,6.564,6.594,6.634,6.672,6.708,6.741,6.769,6.794,6.816,6.835,6.851
CEAN_P,0.513,0.507,0.509,0.509,0.510,0.512,0.511,0.502,0.496,0.491,0.487,0.486,0.489,0.491,0.494,0.497,0.499,0.503,0.507,0.510,0.514,0.516,0.518,0.521,0.524,0.527,0.530,0.532,0.534,0.536,0.537,0.538
CELL_1,292.952,289.363,290.776,290.553,291.292,292.414,291.746,286.840,283.134,280.468,278.175,277.299,279.055,280.563,282.181,283.723,285.088,287.233,289.319,291.320,293.254,294.414,295.754,297.543,299.267,300.860,302.351,303.611,304.747,305.732,306.594,307.305
CHAP,12.731,12.575,12.636,12.626,12.659,12.707,12.678,12.465,12.304,12.188,12.089,12.051,12.127,12.192,12.263,12.330,12.389,12.482,12.573,12.660,12.744,12.794,12.853,12.930,13.005,13.074,13.139,13.194,13.243,13.286,13.324,13.354
CHAR_P,10.051,9.928,9.976,9.969,9.994,10.032,10.010,9.841,9.714,9.623,9.544,9.514,9.574,9.626,9.681,9.734,9.781,9.855,9.926,9.995,10.061,10.101,10.147,10.208,10.268,10.322,10.373,10.417,10.456,10.489,10.519,10.543
CHAS,6.512,6.432,6.464,6.459,6.475,6.500,6.485,6.376,6.294,6.234,6.183,6.164,6.203,6.237,6.273,6.307,6.337,6.385,6.431,6.476,6.519,6.544,6.574,6.614,6.652,6.688,6.721,6.749,6.774,6.796,6.815,6.831
CHIC_1,33.232,32.825,32.985,32.960,33.044,33.171,33.095,32.539,32.118,31.816,31.556,31.456,31.656,31.827,32.010,32.185,32.340,32.583,32.820,33.047,33.266,33.398,33.550,33.753,33.948,34.129,34.298,34.441,34.570,34.682,34.780,34.860
CHSI_1,112.008,110.636,111.176,111.090,111.373,111.802,111.547,109.671,108.254,107.235,106.358,106.023,106.694,107.271,107.890,108.479,109.001,109.821,110.619,111.384,112.123,112.567,113.079,113.763,114.422,115.031,115.601,116.083,116.517,116.894,117.224,117.496
CHTE_1,201.684,199.213,200.186,200.032,200.541,201.314,200.854,197.477,194.925,193.090,191.511,190.908,192.117,193.155,194.269,195.330,196.271,197.747,199.183,200.561,201.893,202.691,203.614,204.845,206.032,207.129,208.155,209.023,209.804,210.483,211.076,211.566
CITR_1,113.289,111.901,112.447,112.361,112.647,113.081,112.822,110.925,109.492,108.461,107.574,107.235,107.915,108.498,109.123,109.720,110.248,111.077,111.884,112.658,113.406,113.854,114.372,115.064,115.731,116.347,116.923,117.411,117.850,118.231,118.564,118.839
CLAY_P,3.644,3.600,3.617,3.615,3.624,3.638,3.629,3.568,3.522,3.489,3.461,3.450,3.472,3.490,3.510,3.530,3.547,3.573,3.599,3.624,3.648,3.663,3.679,3.702,3.723,3.743,3.761,3.777,3.791,3.803,3.814,3.823
