Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CREB_1,150.302,143.821,141.873,139.430,137.403,135.361,133.509,131.593,129.798,127.910,126.137,124.763,124.562,124.498,124.706,124.953,125.342,125.821,126.357,127.105,127.977,129.112,130.732,132.311,134.148,135.624,137.044,138.258,139.170,139.520,139.745,140.133
CROO,10.774,10.309,10.170,9.995,9.849,9.703,9.570,9.433,9.304,9.169,9.042,8.943,8.929,8.924,8.939,8.956,8.985,9.019,9.057,9.111,9.174,9.255,9.371,9.485,9.615,9.722,9.823,9.910,9.976,10.001,10.017,10.045
CUMB,17.188,16.447,16.224,15.945,15.713,15.480,15.268,15.049,14.843,14.627,14.425,14.268,14.245,14.237,14.261,14.289,14.334,14.389,14.450,14.535,14.635,14.765,14.950,15.131,15.341,15.510,15.672,15.811,15.915,15.955,15.981,16.025
CUPA,16.664,15.946,15.730,15.459,15.234,15.008,14.802,14.590,14.391,14.182,13.985,13.833,13.810,13.803,13.826,13.854,13.897,13.950,14.010,14.092,14.189,14.315,14.495,14.670,14.873,15.037,15.194,15.329,15.430,15.469,15.494,15.537
CURR,2.922,2.796,2.758,2.710,2.671,2.631,2.595,2.558,2.523,2.486,2.452,2.425,2.421,2.420,2.424,2.429,2.437,2.446,2.456,2.471,2.488,2.510,2.541,2.572,2.608,2.636,2.664,2.688,2.705,2.712,2.717,2.724
DALM3,9.135,8.741,8.623,8.474,8.351,8.227,8.114,7.998,7.889,7.774,7.666,7.583,7.571,7.567,7.579,7.594,7.618,7.647,7.680,7.725,7.778,7.847,7.946,8.042,8.153,8.243,8.329,8.403,8.459,8.480,8.493,8.517
DEVM,9.617,9.202,9.077,8.921,8.791,8.661,8.542,8.420,8.305,8.184,8.071,7.983,7.970,7.966,7.979,7.995,8.020,8.050,8.085,8.133,8.188,8.261,8.365,8.466,8.583,8.678,8.768,8.846,8.904,8.927,8.941,8.966
DEVO,16.681,15.961,15.745,15.474,15.249,15.023,14.817,14.604,14.405,14.195,13.999,13.846,13.824,13.817,13.840,13.867,13.911,13.964,14.023,14.106,14.203,14.329,14.509,14.684,14.888,15.052,15.209,15.344,15.445,15.484,15.509,15.552
DEWP,23.090,22.094,21.795,21.420,21.108,20.795,20.510,20.216,19.940,19.650,19.378,19.167,19.136,19.126,19.158,19.196,19.256,19.329,19.412,19.526,19.660,19.835,20.084,20.326,20.608,20.835,21.053,21.240,21.380,21.434,21.468,21.528
DOUN_P,2.109,2.018,1.991,1.956,1.928,1.899,1.873,1.846,1.821,1.795,1.770,1.751,1.748,1.747,1.750,1.753,1.759,1.765,1.773,1.783,1.796,1.812,1.834,1.856,1.882,1.903,1.923,1.940,1.953,1.958,1.961,1.966
DRAK_1,69.902,66.888,65.982,64.846,63.903,62.954,62.092,61.201,60.366,59.488,58.663,58.025,57.931,57.901,57.998,58.113,58.294,58.517,58.766,59.114,59.519,60.047,60.801,61.535,62.389,63.076,63.736,64.301,64.725,64.888,64.992,65.173
DRAX_1,36.620,35.041,34.566,33.971,33.477,32.980,32.528,32.062,31.624,31.164,30.732,30.397,30.349,30.333,30.384,30.444,30.539,30.655,30.786,30.968,31.181,31.457,31.852,32.236,32.684,33.044,33.390,33.685,33.908,33.993,34.048,34.142
