Willington,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Shrewsbury,1.874243879,1.855552689,1.836786666,1.811815191,1.788841441,1.761872249,1.730657905,1.699443561,1.668222622,1.554736221,1.418555038,1.248325437,1.021365121,0.680905919,,,,,,,,,,,,,,,,,
Sighthill,2.384034879,2.360259719,2.336389371,2.3046257,2.275403131,2.241098365,2.201393776,2.161689186,2.121976207,1.977621707,1.804399484,1.587867734,1.299174616,0.866111117,,,,,,,,,,,,,,,,,
Skelton Grange,49.45327724,48.96009672,48.46494166,47.80605127,47.1998723,46.48827069,45.66465771,44.84104472,44.01725771,41.02283713,37.42959833,32.93796746,26.94945575,17.96619402,,,,,,,,,,,,,,,,,
South Manchester,35.23039418,34.87905358,34.52630632,34.05691442,33.625074,33.11813074,32.53139086,31.94465098,31.35778712,29.2245692,26.66475463,23.46492775,19.1987266,12.79907283,,,,,,,,,,,,,,,,,
Stalybridge,5.833547974,5.775372007,5.716963122,5.639239887,5.567734533,5.483793439,5.386639396,5.289485353,5.19231078,4.839086544,4.415225233,3.885388878,3.178979267,2.119306557,,,,,,,,,,,,,,,,,
Staythorpe,9.145000949,9.053801001,8.962235917,8.840392562,8.72829671,8.596705887,8.444401694,8.2920975,8.139761125,7.58602676,6.921557708,6.090956162,4.983548355,3.322345263,,,,,,,,,,,,,,,,,
Stella North,11.55158015,11.43638021,11.32071905,11.16681166,11.0252169,10.85899691,10.66661267,10.47422842,10.28180353,9.582349592,8.743020262,7.693839362,6.295008449,4.196646648,,,,,,,,,,,,,,,,,
Stirling,8.344122077,8.260909018,8.1773628,8.066189949,7.963910958,7.843844279,7.704878216,7.565912152,7.426916725,6.921675975,6.315398193,5.55753707,4.547111157,3.031388909,,,,,,,,,,,,,,,,,
Stoke Bardolph,8.739733012,8.652574662,8.565067357,8.448623586,8.34149535,8.215736079,8.070181366,7.924626653,7.779041184,7.249845996,6.614823414,5.821030631,4.762698475,3.17511291,,,,,,,,,,,,,,,,,
Sundon,1.600005453,1.600037773,1.600005564,1.600005641,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansea North,1.188850123,1.17699413,1.165090669,1.149251033,1.134678572,1.117571765,1.09777222,1.077972675,1.058168946,0.986183479,0.899802502,0.791824301,0.647861286,0.431904884,,,,,,,,,,,,,,,,,
Templeborough,0.962631679,0.953031684,0.943393254,0.930567638,0.918768075,0.904916409,0.888884389,0.872852368,0.85681696,0.798529133,0.728585022,0.64115328,0.524584037,0.349720554,,,,,,,,,,,,,,,,,
Thurcroft,28.87895037,28.59095053,28.30179763,27.91702914,27.56304224,27.14749227,26.66653166,26.18557105,25.70450881,23.95587398,21.85755066,19.23459841,15.73752112,10.49161662,,,,,,,,,,,,,,,,,
Tynemouth 2,11.03464693,10.9246022,10.81411687,10.66709684,10.53183844,10.3730568,10.18928175,10.0055067,9.821692818,9.153539448,8.351770106,7.349540051,6.01330682,4.00884671,,,,,,,,,,,,,,,,,Note: TYNE2 is operated by an IDNO allocated to GSP Group/licence area F
Walham,1.925263358,1.906063369,1.886786509,1.861135276,1.837536149,1.809832818,1.777768778,1.745704737,1.713633921,1.597058265,1.457170044,1.28230656,1.049168075,0.699441108,,,,,,,,,,,,,,,,,
Washway Farm,26.32990168,26.06732263,25.80369229,25.45288604,25.13014438,24.75127362,24.3127658,23.87425798,23.4356575,21.84136884,19.92825752,17.53682452,14.34842259,9.565556593,,,,,,,,,,,,,,,,,
West Burton,1.368862247,1.355211055,1.341505208,1.323267181,1.306488202,1.286791134,1.263993601,1.241196068,1.218393718,1.135508427,1.036047901,0.911719964,0.745958501,0.497302628,,,,,,,,,,,,,,,,,
West Melton,4.313552553,4.270534978,4.227345173,4.169873586,4.116999743,4.054930429,3.983090946,3.911251463,3.8393968,3.578209044,3.264789483,2.873007848,2.350661072,1.567097802,,,,,,,,,,,,,,,,,
Willenhall,2.318017083,2.294900296,2.271690957,2.240806872,2.212393524,2.179038713,2.140433608,2.101828503,2.063215241,1.922858151,1.754432733,1.543897099,1.263198362,0.842127094,,,,,,,,,,,,,,,,,
Willington,4.572500475,4.526900501,4.481117958,4.420196281,4.364148355,4.298352943,4.222200847,4.14604875,4.069880562,3.79301338,3.460778854,3.045478081,2.491774178,1.661172631,,,,,,,,,,,,,,,,,
Woodhill,6.196160098,6.134367926,6.072328356,5.989773861,5.913823749,5.824664895,5.721471777,5.618278658,5.515063735,5.139883154,4.689674711,4.12690384,3.376583954,2.25104221,,,,,,,,,,,,,,,,,
