GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CURR,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.1,2.0,3.4,5.3,8.1,11.6,15.9,20.4,24.9,28.9,32.2,34.2,35.3,35.5,35.0,33.9,32.6,31.1,29.4,27.4,25.2,22.7
DALL_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALM3,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.2,2.1,3.6,5.7,8.6,12.4,16.8,21.7,26.4,30.7,34.2,36.3,37.4,37.7,37.2,36.0,34.6,33.0,31.2,29.1,26.7,24.1
DEVM,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.6,2.6,4.2,6.4,9.2,12.5,16.1,19.6,22.7,25.3,26.9,27.7,27.9,27.5,26.6,25.6,24.5,23.1,21.6,19.8,17.8
DEVO,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.7,3.0,5.1,8.1,12.3,17.6,24.0,30.9,37.7,43.8,48.8,51.8,53.4,53.7,53.0,51.3,49.4,47.1,44.5,41.5,38.1,34.3
DEWP,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.7,1.2,1.9,2.9,4.1,5.6,7.2,8.8,10.2,11.4,12.1,12.5,12.6,12.4,12.0,11.6,11.0,10.4,9.7,8.9,8.0
DOUN_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
DRAK_1,,0.0,0.0,0.0,0.0,0.4,0.9,1.9,3.8,7.1,12.6,21.1,33.4,50.7,73.0,99.3,128.0,156.0,181.2,201.9,214.5,221.0,222.5,219.4,212.5,204.4,195.0,184.2,171.9,157.9,142.1
DRAX_1,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,1.7,2.9,4.9,7.8,11.9,17.1,23.3,30.0,36.5,42.4,47.3,50.2,51.7,52.1,51.4,49.7,47.8,45.6,43.1,40.2,37.0,33.3
DRCR,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.5,2.5,3.9,5.9,8.5,11.6,14.9,18.2,21.1,23.6,25.0,25.8,26.0,25.6,24.8,23.8,22.8,21.5,20.1,18.4,16.6
DRUM,,0.0,0.0,0.0,0.0,0.1,0.3,0.6,1.2,2.3,4.0,6.8,10.7,16.3,23.4,31.8,41.0,50.0,58.0,64.7,68.7,70.8,71.3,70.3,68.1,65.5,62.5,59.0,55.1,50.6,45.5
DUBE_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.6,0.9,1.2,1.5,1.8,2.1,2.4,2.5,2.6,2.6,2.6,2.5,2.4,2.3,2.2,2.0,1.9,1.7
DUDH_P,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.0,1.8,3.1,4.9,7.4,10.6,14.4,18.6,22.6,26.3,29.3,31.1,32.1,32.3,31.8,30.8,29.7,28.3,26.7,24.9,22.9,20.6
DUGR_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,1.0,1.5,2.3,3.3,4.5,5.8,7.1,8.2,9.2,9.7,10.0,10.1,10.0,9.7,9.3,8.9,8.4,7.8,7.2,6.5
DUNB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUNB_A,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.4,2.4,3.9,5.8,8.4,11.4,14.7,18.0,20.9,23.3,24.7,25.5,25.6,25.3,24.5,23.5,22.5,21.2,19.8,18.2,16.4
DUNB_B,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.9,1.4,2.1,3.0,4.0,5.2,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
DUNF,,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.7,1.2,2.2,3.6,5.8,8.7,12.6,17.1,22.1,26.9,31.2,34.8,36.9,38.1,38.3,37.8,36.6,35.2,33.6,31.7,29.6,27.2,24.5
DUNO_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,1.0,1.7,2.7,4.1,5.9,8.0,10.3,12.6,14.6,16.3,17.3,17.8,17.9,17.7,17.1,16.4,15.7,14.8,13.8,12.7,11.4
DYCE_P,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.7,3.0,5.1,8.0,12.2,17.5,23.9,30.8,37.5,43.5,48.5,51.5,53.1,53.4,52.7,51.0,49.1,46.8,44.2,41.3,37.9,34.1
Dunbar B,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,1.0,1.6,2.4,3.4,4.7,6.0,7.3,8.5,9.5,10.1,10.4,10.5,10.3,10.0,9.6,9.2,8.7,8.1,7.4,6.7
EALI_6,,0.0,0.0,0.0,0.0,0.3,0.7,1.6,3.2,5.9,10.5,17.6,27.9,42.4,61.0,83.0,107.0,130.3,151.4,168.7,179.2,184.6,185.9,183.3,177.5,170.7,162.9,153.9,143.6,131.9,118.7
EASO_1,,0.0,0.0,0.0,0.0,1.2,3.0,6.6,13.4,24.9,44.0,74.0,117.1,177.7,255.6,347.9,448.5,546.5,634.7,707.4,751.2,774.2,779.4,768.7,744.3,715.8,683.0,645.2,602.0,553.1,497.7
