GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
NEEP_3,1235.4,1254.2,1273.0,1291.7,1310.5,1329.3,1348.0,1366.8,1385.6,1404.4,1423.1,1441.9,1460.6,1479.4,1498.2,1516.9,1535.6,1554.4,1573.1,1591.9,1610.7,1629.5,1648.3,1667.1,1685.9,1704.6,1723.4,1742.1,1760.9,1779.7,
NORT_1,8051.6,8174.1,8296.4,8418.7,8541.0,8663.3,8785.6,8907.9,9030.2,9152.5,9274.8,9397.1,9519.5,9641.7,9764.0,9886.0,10008.0,10130.2,10252.5,10374.8,10497.5,10620.1,10742.5,10864.8,10987.1,11109.4,11231.7,11354.0,11476.3,11598.7,
NORL_3,814.6,827.0,839.3,851.7,864.1,876.4,888.8,901.2,913.6,925.9,938.3,950.7,963.0,975.4,987.8,1000.2,1012.4,1024.8,1037.2,1049.6,1062.0,1074.4,1086.8,1099.1,1111.5,1123.9,1136.3,1148.6,1161.0,1173.4,
OFFE_3,796.1,808.2,820.3,832.4,844.5,856.6,868.7,880.8,892.9,905.0,917.1,929.2,941.2,953.3,965.4,977.5,989.6,1001.6,1013.7,1025.8,1037.9,1050.1,1062.2,1074.3,1086.3,1098.5,1110.6,1122.6,1134.7,1146.9,
OSBA_1,5518.8,5602.7,5686.6,5770.4,5854.2,5938.1,6021.9,6105.8,6189.6,6273.4,6357.2,6441.0,6524.9,6608.7,6692.6,6776.2,6859.7,6943.6,7027.4,7111.2,7195.3,7279.4,7363.2,7447.1,7530.9,7614.7,7698.5,7782.4,7866.2,7950.0,
PITS_3,930.6,944.7,958.9,973.0,987.2,1001.3,1015.4,1029.6,1043.7,1057.8,1072.0,1086.1,1100.3,1114.4,1128.6,1142.6,1156.7,1170.8,1185.0,1199.1,1213.3,1227.5,1241.6,1255.8,1269.9,1284.0,1298.2,1312.3,1326.5,1340.6,
POPP_3,790.4,802.4,814.5,826.5,838.5,850.5,862.5,874.5,886.5,898.5,910.5,922.5,934.6,946.5,958.6,970.5,982.5,994.5,1006.5,1018.5,1030.6,1042.6,1054.6,1066.6,1078.7,1090.7,1102.7,1114.7,1126.7,1138.6,
SALT_1,1287.9,1307.6,1327.1,1346.7,1366.2,1385.8,1405.3,1424.9,1444.5,1464.1,1483.6,1503.2,1522.7,1542.3,1561.9,1581.4,1600.9,1620.4,1640.0,1659.6,1679.2,1698.8,1718.4,1738.0,1757.5,1777.1,1796.7,1816.2,1835.8,1855.4,
SALH_1,4334.0,4399.9,4465.8,4531.6,4597.4,4663.3,4729.1,4794.9,4860.8,4926.6,4992.4,5058.3,5124.1,5189.9,5255.8,5321.4,5387.0,5452.8,5518.7,5584.5,5650.6,5716.6,5782.4,5848.3,5914.1,5979.9,6045.8,6111.6,6177.4,6243.3,
SHEC_3,1699.0,1724.8,1750.6,1776.4,1802.3,1828.1,1853.9,1879.7,1905.5,1931.3,1957.1,1982.9,2008.8,2034.6,2060.3,2086.1,2111.8,2137.6,2163.4,2189.2,2215.1,2241.0,2266.8,2292.7,2318.4,2344.2,2370.1,2395.9,2421.7,2447.5,
SKLGB1,8747.6,8880.6,9013.5,9146.4,9279.3,9412.2,9545.0,9677.9,9810.8,9943.7,10076.5,10209.5,10342.3,10475.2,10608.1,10740.6,10873.1,11005.9,11138.8,11271.6,11404.9,11538.2,11671.1,11804.0,11936.9,12069.7,12202.6,12335.5,12468.4,12601.3,
