GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Sheffield City,18164.7,18283.9,18420.2,18535.1,18630.6,18717.5,18806.5,18894.6,18977.2,19057.2,19138.1,19219.4,19298.4,19374.0,19446.7,19521.4,19592.6,19662.2,19725.9,19788.9,19853.7,19914.8,19972.1,20028.8,20085.7,20141.7,20199.9,20256.9,20314.0,20372.3,
Skelton Grange,322614.8,324723.8,327135.2,329181.4,330879.6,332423.2,334010.7,335555.1,337032.9,338450.2,339899.2,341336.2,342737.5,344077.0,345372.3,346698.0,347968.4,349192.4,350336.6,351443.4,352591.1,353696.5,354695.6,355700.3,356709.7,357723.6,358741.4,359763.2,360788.0,361816.2,
South Shields,45676.4,45975.7,46317.1,46606.6,46846.7,47066.0,47290.8,47509.1,47718.5,47919.4,48123.5,48327.6,48525.2,48716.1,48898.8,49087.1,49266.4,49439.3,49602.3,49758.6,49920.9,50077.2,50219.5,50360.9,50503.8,50647.1,50792.3,50936.5,51081.2,51227.4,
Spennymoor,134700.5,135581.7,136588.6,137442.7,138152.0,138796.7,139459.2,140105.0,140721.1,141313.2,141918.0,142518.1,143102.7,143662.6,144203.4,144756.5,145286.8,145798.1,146276.2,146738.5,147216.9,147679.0,148096.1,148515.2,148936.6,149361.1,149785.3,150212.8,150639.9,151069.3,
Stella North,90198.4,90787.8,91461.5,92033.4,92508.2,92940.5,93384.2,93816.6,94229.5,94624.8,95030.7,95432.8,95824.7,96197.9,96561.2,96931.9,97286.7,97629.5,97948.6,98258.7,98579.7,98887.5,99167.9,99448.9,99731.1,100013.6,100299.1,100584.2,100870.2,101158.0,
Stella South,120507.9,121297.1,122197.3,122960.9,123595.7,124172.3,124765.6,125342.5,125894.9,126423.9,126965.4,127501.3,128025.4,128525.8,129009.1,129505.0,129979.1,130436.0,130863.1,131277.8,131706.4,132119.3,132492.0,132868.0,133245.1,133623.6,134003.3,134384.5,134768.3,135151.3,
Templeborough,3525.4,3547.7,3573.7,3595.9,3615.2,3631.8,3648.9,3665.8,3682.2,3698.4,3712.9,3729.9,3744.3,3759.8,3774.2,3787.7,3801.7,3814.9,3827.2,3839.2,3852.6,3864.2,3875.3,3886.8,3897.8,3907.7,3919.5,3931.3,3941.7,3952.8,
Thorpe Marsh,59294.9,59682.2,60125.7,60501.7,60814.2,61098.0,61389.0,61673.6,61945.2,62205.2,62471.5,62736.1,62994.0,63239.4,63477.0,63721.0,63954.0,64179.1,64389.5,64593.0,64804.7,65007.1,65191.7,65375.2,65560.8,65748.0,65935.3,66123.3,66310.5,66499.9,
Thurcroft,145423.9,146374.6,147461.8,148383.8,149149.0,149845.3,150560.9,151257.5,151923.5,152562.0,153215.8,153863.5,154494.5,155098.4,155682.4,156280.7,156852.0,157404.6,157919.7,158419.5,158936.9,159435.3,159885.8,160338.0,160793.0,161250.7,161709.5,162170.1,162631.9,163095.3,
Tynemouth 1,76427.6,76926.7,77498.2,77982.6,78385.6,78751.3,79126.9,79493.0,79842.9,80178.2,80522.4,80863.0,81194.1,81511.2,81819.3,82132.5,82433.2,82723.7,82995.2,83256.5,83528.1,83791.1,84027.6,84264.7,84503.9,84744.8,84986.0,85228.2,85471.1,85714.9,
